;Elem;Morox;Niksek;Ohu1;Ohu2;Utai;Wamangu;Wanang;Yapsiei
Elem;0;90,77472995;154,0061049;201,258343;201,258343;303,431804;117,5739756;147,5878248;313,4830669
Morox;90,77472995;0;189,606269;221,2815185;221,2815185;287,9158341;55,84802219;180,1038462;340,1027542
Niksek;154,0061049;189,606269;0;354,2902715;354,2902715;179,5646836;160,0472464;299,5385578;159,5281216
Ohu1;201,258343;221,2815185;354,2902715;0;0;498,6813381;276,383076;55,5963261;513,0151492
Ohu2;201,258343;221,2815185;354,2902715;0;0;498,6813381;276,383076;55,5963261;513,0151492
Utai;303,431804;287,9158341;179,5646836;498,6813381;498,6813381;0;233,8469256;448,3681427;147,8936648
Wamangu;117,5739756;55,84802219;160,0472464;276,383076;276,383076;233,8469256;0;233,0409132;298,4922871
Wanang;147,5878248;180,1038462;299,5385578;55,5963261;55,5963261;448,3681427;233,0409132;0;457,8881304
Yapsiei;313,4830669;340,1027542;159,5281216;513,0151492;513,0151492;147,8936648;298,4922871;457,8881304;0
